,dl,grasp,raw
dl_dc_mae,0.12867286666666666,,
dl_dc_mse,0.5707685333333334,,
dl_lpips,0.08336626666666667,,
dl_mse,1.1145474666666668,,
dl_psnr,32.46759693333333,,
dl_recon_corr,0.9749008,,
dl_ssim,0.9087644,,
grasp_corr,,0.988687,
grasp_dc_mae,,0.11313493333333334,
grasp_dc_mse,,0.33206213333333334,
grasp_lpips,,0.19751753333333336,
grasp_mse,,5.067818066666666,
grasp_psnr,,26.088124733333334,
grasp_ssim,,0.7318048,
raw_dc_mae,,,1.546666666666667e-05
raw_dc_mse,,,0.0
raw_grasp_dc_mae,,,3.06e-05
raw_grasp_dc_mse,,,0.0
raw_ssdu_nmse,,,0.3045086
