edge_mode	subset	metric	brisknet_mean	grasp_mean	brisknet_stddev	grasp_stddev
non_edge	all_pixels_malignant	curve_corr	0.994	0.995	0.003	0.003
edge	all_pixels_malignant	curve_corr	0.952	0.977	0.022	0.019
non_edge	all_pixels_malignant	curve_mae	1.404	1.215	0.687	0.655
edge	all_pixels_malignant	curve_mae	7.961	6.016	4.409	3.845
non_edge	all_pixels_malignant	early_corr	0.987	0.978	0.010	0.013
edge	all_pixels_malignant	early_corr	0.904	0.928	0.046	0.061
non_edge	all_pixels_malignant	early_mae	1.599	1.348	0.794	0.715
edge	all_pixels_malignant	early_mae	9.249	6.706	5.477	4.351
non_edge	all_pixels_malignant	iauc10_err	13.937	9.167	6.472	3.748
edge	all_pixels_malignant	iauc10_err	89.017	45.226	54.398	28.818
non_edge	all_pixels_malignant	peak_err	2.293	2.127	1.117	1.110
edge	all_pixels_malignant	peak_err	13.173	10.125	7.400	6.131
non_edge	all_pixels_malignant	ttae_sec	2.950	2.079	1.462	1.420
edge	all_pixels_malignant	ttae_sec	8.666	3.177	3.181	2.213
non_edge	all_pixels_malignant	ttpeak_err_sec	11.612	5.557	5.572	4.532
edge	all_pixels_malignant	ttpeak_err_sec	21.297	11.377	6.891	6.150
non_edge	all_pixels_malignant	wash_in_slope_err	0.020	0.021	0.012	0.015
edge	all_pixels_malignant	wash_in_slope_err	0.322	0.207	0.334	0.158
